53,268,118
773,858,944
812,259,979
881,876,310
740,440,982
576,951,29
623,359,223
904,886,163
440,524,142
406,365,990
112,37,803
631,823,240
775,158,585
883,410,339
392,977,327
656,195,911
293,981,630
867,326,352
465,517,283
759,913,924
226,84,973
210,912,353
843,512,946
144,498,477
34,896,248
928,928,570
357,624,363
846,947,575
631,94,433
476,740,232
941,726,64
363,444,252
326,453,657
786,916,936
984,69,746
822,611,987
599,535,612
485,382,804
662,617,959
139,266,421
399,496,129
838,23,580
730,864,155
561,817,487
9,320,925
205,504,434
797,824,351
540,348,788
698,911,3
671,228,425
